Datum;MengeKum;Einheit;Preis;Produkt;Umsatz;Bestand_Einheit;Bestand_Preis
20/11/2015;-0.842;Kilo;3.36;weißer Basmati;-2.83;23.686;79.58
21/11/2015;-0.412;Kilo;2.29;Kichererbsen;-0.94;22.928;52.51
21/11/2015;-1.580;Kilo;3.15;Arborio Reis;-4.98;22.564;71.08
21/11/2015;-1.000;Liter;5.39;Back-/Bratöl, EU;-5.39;16.815;90.63
21/11/2015;-0.758;Kilo;4.60;Beluglinsen;-3.49;23.672;108.89
21/11/2015;-0.282;Kilo;3.80;Borlottibohnen;-1.07;8.742;33.22
21/11/2015;-0.398;Kilo;3.40;Braunhirse;-1.35;23.798;80.91
21/11/2015;-1.396;Kilo;2.00;Dinkel;-2.79;44.188;88.38
21/11/2015;-1.302;Kilo;1.93;Goldhirse;-2.51;22.786;43.98
21/11/2015;-0.208;Kilo;1.54;Haferflocken;-0.32;24.136;37.17
21/11/2015;-1.382;Kilo;1.20;Roggen;-1.66;48.618;58.34
21/11/2015;-0.250;Kilo;4.00;Sesam;-1.00;24.342;97.37
21/11/2015;-0.276;Kilo;2.50;Sonnenblumenkerne;-0.69;23.198;58.00
21/11/2015;-0.964;Kilo;3.95;Weinbeeren;-3.81;10.534;41.61
22/11/2015;-0.500;Kilo;2.29;Penne semoltano;-1.14;13.526;30.97
22/11/2015;-0.826;Kilo;4.50;Tellerlinsen;-3.72;23.636;106.36
22/11/2015;-1.184;Kilo;3.15;Arborio Reis;-3.73;21.380;67.35
22/11/2015;-1.182;Kilo;3.40;Buchweizen;-4.02;22.256;75.67
22/11/2015;-1.516;Kilo;2.29;Couscous;-3.47;22.276;51.01
22/11/2015;-0.500;Kilo;1.93;Goldhirse;-0.96;22.286;43.01
22/11/2015;-0.698;Kilo;1.54;Haferflocken;-1.07;23.438;36.09
22/11/2015;-0.752;Kilo;3.20;Polenta;-2.41;23.698;75.83
22/11/2015;-0.370;Kilo;12.00;Sonnenblütenhonig;-4.44;24.630;295.56
22/11/2015;-0.548;Kilo;15.09;Samba – Schokoaufstrich;-8.27;6.844;103.28
22/11/2015;-1.078;Kilo;3.95;Weinbeeren;-4.26;9.456;37.35
22/11/2015;-0.686;Kilo;1.20;Roggen;-0.82;47.932;57.52
22/11/2015;-0.170;Kilo;2.29;Kichererbsen;-0.39;22.758;52.12
22/11/2015;-0.410;Kilo;1.26;Weizen;-0.52;49.590;62.48
22/11/2015;-0.224;Kilo;2.45;Rohrohrzucker;-0.55;22.773;55.79
22/11/2015;-2.000;Liter;5.39;Back-/Bratöl, EU;-10.78;14.815;79.85
22/11/2015;-0.356;Kilo;3.80;Borlottibohnen;-1.35;8.386;31.87
